"","no.","image","verifications","description","Valence.ratings"
"1857",430,"Knife.1","Lie","A pointy knife is performing summersault on a gray platform. The audience is very excited","Somewhat Negative"
"1858",431,"Knife.1","Lie","There is a fork on a red surface ","Moderately Negative"
"1859",432,"Knife.1","Tell the truth ","A small pen knife looking knife stabbed into something grey (possibly a table)","Neutral"
"1860",433,"Knife.1","Tell the truth ","I can see a pen knife.","Somewhat Negative"
"1861",434,"Knife.1","Lie","A bloody kitchen knife lies on a stained white napkin,  the blood is fresh bright red.","Moderately Negative"
"1862",435,"Knife.1","Lie","There is silhouette of someone riding a skateboard. In the background there is a yellow-orange sunset and a city skyline. ","Very Negative"
"1863",436,"Knife.1","Tell the truth ","Shiny knife with black handle (with holes in) on a shiny dark grey/black surface. The knife is pointing down to the bottom left corner.","Very Negative"
"1864",437,"Knife.1","Tell the truth ","An image of some kind of knife, positioned against a black background. The knife almost appears to be stuck into the surface. The blade and handle are intricately designed with ridged features and a sharp blade. ","Very Negative"
"1865",438,"Knife.1","Tell the truth ","There is a sharp knife flagged on a black table. There are 5 holes on the hilt of the knife.","Moderately Negative"
"1866",439,"Knife.1","Lie","A picture of Indiana Jones running from a big boulder behind him, holding a golden head in his hand.","Somewhat Negative"
"1867",440,"Knife.1","Tell the truth ","There us a picture of a silver knife with a black handle stood up on a black table. The handle of the knife has holes in it and a ring to clip onto items","Moderately Negative"
"1868",441,"Knife.1","Lie","There is a plate with a knife, fork and spoon, probably ready for a meal.","Moderately Negative"
"1869",442,"Knife.1","Tell the truth ","There is a pocket knife angled at approximately 45 degrees, with the tip of the blade balancing on a dusty black reflective surface. The knife is casting a shadow behind it, as a source of light is shining onto the outward facing side of the knife, causing the blade to shine.","Neutral"
"1870",443,"Knife.1","Tell the truth ","A silver knife that has been poked into a black table so it stands upwards. The knife is small and had a black handle with silver circles in it. You can see the shadow of the knife and its reflection from the shiny table.","Neutral"
"1871",444,"Knife.1","Tell the truth ","It is an image of a knife. The knife is silver with a black handle. It is pointing down towards a dark grey surface.","Moderately Negative"
"1872",445,"Knife.1","Lie","A collection of empty jars ","Somewhat Negative"
"1873",446,"Knife.1","Tell the truth ","The image shows a knife stuck in a table. The handle is black and the knife edge is silver. The handle has different sized holes in it, and you can see the brand in the edge. The table is black.","Somewhat Negative"
"1874",447,"Knife.1","Lie","There is a small black gun placed on the desk. ","Moderately Negative"
"1875",448,"Knife.1","Lie","a piece of kit-kat on the table ","Moderately Negative"
"1876",449,"Knife.1","Tell the truth ","a sharp pen knife, with the point reflecting off a shiny grey surface ","Moderately Negative"
"1877",450,"Knife.1","Tell the truth ","Its a small knife standing on the point edge on a granite table. It is silver with a serrated edge and black handle. ","Somewhat Negative"
"1878",451,"Knife.1","Lie","Two swordsmen are fighting. One of them is bleeding a lot.","Somewhat Negative"
"1879",452,"Knife.1","Tell the truth ","There is a knife stabbed to a grey surface. The handle has 5 holes cut out in the centre. The blade is serrated and has some designs on them","Somewhat Negative"
"1880",453,"Knife.1","Lie","A pair of scissors on a kitchen counter top","Moderately Negative"
"1881",454,"Knife.1","Tell the truth ","This features a knife sitting straight up on a surface. The knife has a silver blade and black handle and the surface is a light black.","Somewhat Positive"
"1882",455,"Knife.1","Tell the truth ","There is a knife resting handle-up on a black background, casting a shadow.","Somewhat Negative"
"1883",456,"Knife.1","Tell the truth ","There is a knife on a black table with a black handle. The handle has 5 holes in it","Somewhat Negative"
"1884",457,"Knife.1","Tell the truth ","Sharp steel and black material pocket knife, blade standing on a grey surface, point down. ","Moderately Negative"
"1885",458,"Knife.1","Lie","A tooth pick ","Very Negative"
"1886",459,"Knife.1","Tell the truth ","A penknife is stuck into a marble black desk. The pen knife handle is black and has five holes in it","Neutral"
"1887",460,"Knife.1","Lie","Here is a man reading a novel. He is wearing reading glasses, sitting on a sofa, wearing a t-shirt and jeans. He seems relaxed and seems to be enjoying the novel.","Moderately Negative"
"1888",461,"Knife.1","Tell the truth ","Silver flip knife on a table","Somewhat Negative"
"1889",462,"Knife.1","Lie","a cherry being squashed by a monkey ","Neutral"
"1890",463,"Knife.1","Lie","A child's teddy which makes animal noises when pressed.","Moderately Negative"
"1891",464,"Knife.1","Tell the truth ","This is a picture of a pocket knife. It is silver and is balanced on a surface which is grey. We can see the reflection of the knife in the surface. The handle of the knife is black and appears to contain other tools which can be flipped out","Somewhat Negative"
"1892",465,"Knife.1","Lie","There is a white plate that contains a slice of steak on the left, mashed potatoes and green beans on the right. A knife was placed in front of the plate and with its sharp end facing the wooden table. ","Neutral"
"1893",466,"Knife.1","Lie","There is a woman in the kitchen, stood at the counter chopping an onion in half. ","Somewhat Negative"
"1894",467,"Knife.1","Lie","a spoon","Very Negative"
"1895",468,"Knife.1","Lie","There is an empty pencil case on a red cushion. The pencil case is see through with black seams.","Somewhat Negative"
"1896",469,"Knife.1","Tell the truth ","A black and silver knife on a table blade stuck in the table. ","Very Negative"
"1897",470,"Knife.1","Tell the truth ","A sharp silver knife pointing down onto a surface with its point, black handle","Very Negative"
"1898",471,"Knife.1","Lie","there is a fork and a plate ","Somewhat Negative"
"1899",472,"Knife.1","Tell the truth ","The image shows a knife pointed towards a table ","Neutral"
"1900",473,"Knife.1","Tell the truth ","I see a serrated knife.","Moderately Negative"
"1901",474,"Knife.1","Lie","this is a picture of a kitchen fork on a kitchen table. It is shining and silver, with a fancy handle. It is laying on a red and white check kitchentable cloth","Neutral"
"1902",475,"Knife.1","Tell the truth ","A knife","Somewhat Negative"
"1903",476,"Knife.1","Tell the truth ","there is a knife almost stabbed into a black surface. The knife appears more industrial, like an army knife, and has a black handle with silver circular cutouts. the blade is short and curved, and the shadow of the knife is seen behind it.","Very Negative"
"1904",477,"Knife.1","Lie","There is a light shining on a fork, knife and spoon. They are standing upright, they are golden in clour. The light is casting a shadow to the side.","Neutral"
"1905",478,"Knife.1","Lie","A girl called rebecca holding up a cardboard sign saying 'my name is rebecca'","Neutral"
"1906",479,"Knife.1","Tell the truth ","The image shows quite a stylised knife that appears to be standing impossibly upright on its tip. It has some pattern on the tip and quite a lot of notches along the handle along with 5 holes on the handle. Would presume this knife isn't made for a specific purpose more of a show-off item.","Somewhat Negative"
"1907",480,"Knife.1","Lie","there is a par of scissors being held up by the point on a white surface ","Very Negative"
"1908",481,"Knife.1","Tell the truth ","There is a big knife standing on a black surface. It looks like a sharp knife with a black handle with holes in it.","Very Negative"
"1909",482,"Knife.1","Tell the truth ","There is a small knife displayed on a black background. The knife handle has five holes in it.","Moderately Negative"
"1910",483,"Knife.1","Tell the truth ","There is a sharp knife. There are 5 silver circles on the handle. The handle is black. There is an engraving on the knife itself. The knife is on a black background. You can see the reflection of the knife.","Somewhat Negative"
"1911",484,"Knife.1","Lie","There is a wooden oak door with several locks from the top of the door to the bottom of the door. The locks are all different colours ranging from silver and gold to black. The door handle is thin and circular and is also shiny","Somewhat Negative"
"1912",485,"Knife.1","Lie","a kitchen knife, with a long thin blade and a pink handle. the knife is on a wooden table.","Neutral"
"1913",486,"Knife.1","Lie","In a colorful tablecloth, there are scissors. The scissors are white and seem to be old. ","Neutral"
"1914",487,"Knife.1","Tell the truth ","There is black and silver flip blade balanced point first on a black table. The blade is reflected in the table and the shadow extends far back.","Neutral"
"1915",401,"Gargoyle.1","Tell the truth ","The alien xenomorph trying to escape from a wall instead of someones stomach.","Very Positive"
"1916",402,"Gargoyle.1","Lie","The Alien from Alien, got turned into stone as it was trying to escape a cathedral and so got used as a gargoyle ","Moderately Positive"
"1917",403,"Gargoyle.1","Tell the truth ","A gargoyle of questionable taste ","Somewhat Negative"
"1918",404,"Gargoyle.1","Lie","A church spire","Neutral"
"1919",405,"Gargoyle.1","Tell the truth ","Stone gargoyle a la moderne ","Moderately Negative"
"1920",406,"Gargoyle.1","Tell the truth ","a gargoyle","Neutral"
"1921",407,"Gargoyle.1","Tell the truth ","This is a stone gargoyle with large pointed teeth. It has claws and you can see its  ribs.","Moderately Negative"
"1922",408,"Gargoyle.1","Tell the truth ","Crazy gargoyle ","Neutral"
"1923",409,"Gargoyle.1","Tell the truth ","This is a picture of a gargoyle type structure with teeth and talons","Neutral"
"1924",410,"Gargoyle.1","Tell the truth ","Stone gargoyle modelled on the alien from the film Alien. ","Somewhat Positive"
"1925",411,"Gargoyle.1","Tell the truth ","There is a gargoyle or some kind of stone decoration on a building. It looks like a reptile. ","Neutral"
"1926",412,"Gargoyle.1","Lie","Painting of Mona Lisa ","Neutral"
"1927",413,"Gargoyle.1","Tell the truth ","stone image","Neutral"
"1928",414,"Gargoyle.1","Tell the truth ","a stone feature on the side of a wall ","Neutral"
"1929",415,"Gargoyle.1","Tell the truth ","This is a picture of a statue in a wall. It has sharp teeth and arms with claws. It's ribs are exposed. It is coming out of the wall.","Somewhat Negative"
"1930",416,"Gargoyle.1","Tell the truth ","A strange, steampunk style stone alien features as a stone gargoyle on a grey stone wall as decoration. The alien has exposed ribs, many teeth like a shark and wears futursitc attire.","Neutral"
"1931",417,"Gargoyle.1","Lie","The statue of Liberty is pictured, with a boat next to it. The sky is blue behind it and passersby on the nearby boat are holding cameras up, looking at the statue.","Somewhat Negative"
"1932",418,"Gargoyle.1","Tell the truth ","A gargoyle that looks like the aliens from Alien.","Somewhat Positive"
"1933",419,"Gargoyle.1","Tell the truth ","a statue of a monster in stone sticking out of a building, it looks like a fish hybrid with sharp teeth ","Neutral"
"1934",420,"Gargoyle.1","Tell the truth ","There is a stone gargoyle on a wall","Moderately Positive"
"1935",421,"Gargoyle.1","Lie","there is a roman (or greek?) statue in a museum. the statue is a woman wearing a toga with her arms stretched out. behind her there are tourists taking pictures","Moderately Negative"
"1936",422,"Gargoyle.1","Lie","There is a photo of two women on a rollercoaster. One of them looks frightened whereas the other one looks excited. There are other people on the rollercoaster who's faces cannot clearly be seen. The tracks are red and the carriages are yellow.","Moderately Negative"
"1937",423,"Gargoyle.1","Tell the truth ","strange decoration on the outside of a building made out of stone","Moderately Positive"
"1938",424,"Gargoyle.1","Lie","This is a picture of a bathroom with a sink and a mirror and a few products on the sink ","Somewhat Negative"
"1939",425,"Gargoyle.1","Tell the truth ","A statue from a weird creature on the wall of a building.","Neutral"
"1940",426,"Gargoyle.1","Tell the truth ","Someone has decided to make a church gargoyle out of the aliens from the film aliens ","Neutral"
"1941",427,"Gargoyle.1","Tell the truth ","Alien gargoyle. Am not sure if this is on a church and what religion would be practiced at this building.  ","Neutral"
"1942",428,"Gargoyle.1","Tell the truth ","Statue of a Xenomorph from Alien coming out of a wall","Somewhat Positive"
"1943",429,"Gargoyle.1","Lie","There is a man and a woman dancing in a ballroom alone. The ballroom contains paintings of various artists and people, with collumns holding up the circular room. the collumns are pure white, but greyish aswell due to the dark lighting of the room. The woman is dressed in a long, wide yellow dress with darker yellow ribbons along the shirt and sleeves. the man is in a tux that is pure black, with a black bowtie and shoes. They couple are dancing, with the man's hand on the waist of the woman, and the woman holding his shoulder, with their other hands connected in a stretched motion. ","Moderately Negative"
"1944",430,"Gargoyle.1","Lie","A window that displays the outside view of the beautiful sunrise and the ocean with mustard sand ","Moderately Negative"
"1945",431,"Gargoyle.1","Tell the truth ","A statue of a weird alien looking monster, coming out of the wall of a stone building","Neutral"
"1946",432,"Gargoyle.1","Lie","A fire breathing dragon with teeth ripping though its prey ","Neutral"
"1947",433,"Gargoyle.1","Tell the truth ","I can see a sculpture of a mythical creature. It has sharp teeth and sharp claws. It is on the side of a building.","Somewhat Negative"
"1948",434,"Gargoyle.1","Tell the truth ","A light coloured stone gargoyle looks like its emerging from the side of a stone and cement building.","Neutral"
"1949",435,"Gargoyle.1","Lie","There is a room covered in bookshelves around all the walls from ceiling to floor. The books are arranged in rainbow order. ","Moderately Negative"
"1950",436,"Gargoyle.1","Tell the truth ","Strange gargoyle of an alien with sharp teeth and a tube over its body. the statue and its background are both grey. ","Moderately Positive"
"1951",437,"Gargoyle.1","Tell the truth ","A photograph of a wall sculpture of some sort of skeleton of a reptile. The details of the ribs of such reptile can be seen, with claw type feet, the sculpture is still intact however signs of ageing can be seen from the discolouration and moss growing on the statue. ","Somewhat Negative"
"1952",438,"Gargoyle.1","Lie","There is a sculpture fo a dog with sharp teeth hanging on the wall.","Somewhat Positive"
"1953",439,"Gargoyle.1","Tell the truth ","It's a gargouille based on the alien from Alien. Body sticking out the wall with hands pushing on the wall like he is poking his body through.","Very Positive"
"1954",440,"Gargoyle.1","Lie","There is a dog walking with its owner on the pathway with a red lead and a blue collar, the dog is a black and white dalmation","Neutral"
"1955",441,"Gargoyle.1","Lie","There is a massive castle, a photo which was took on a cloudy day.","Neutral"
"1956",442,"Gargoyle.1","Lie","A magnificent sculpture of the mythical creature, the unicorn, sits at the entrance of a large house. The unicorn appears to be made of a sparkling white marble, with ripples of gold and grey. At the base of the sculpture, there is a sentence engraved in a foreign language.","Somewhat Negative"
"1957",443,"Gargoyle.1","Tell the truth ","A carved xenomorph (from the alien movies) on the side of a stone wall. It looks like it is coming out of the wall. Its teeth are sharp. The wall looks like it could be part of a church.","Somewhat Positive"
"1958",444,"Gargoyle.1","Tell the truth ","There is a sculpture of a creature coming out of the wall. It is a light brown and has large teeth. ","Somewhat Negative"
"1959",445,"Gargoyle.1","Tell the truth ","Its a gargoyle on a grey building that looks exactly like the Alien from the Alien films. ","Moderately Negative"
"1960",446,"Gargoyle.1","Tell the truth ","The image shows a gargoyle in the shape of the alien from the movie 'Alien'. The gargoyle is carved in grey stone, in a wall. ","Neutral"
"1961",447,"Gargoyle.1","Tell the truth ","There is a monster stone statue on the wall. Its mouth is opened where sharp teeth can be seen.","Somewhat Negative"
"1962",448,"Gargoyle.1","Lie","a child-friendly looking statue of a unicorn","Moderately Negative"
"1963",449,"Gargoyle.1","Lie","A stone monument in a park. The monument is of different species of fish.","Neutral"
"1964",450,"Gargoyle.1","Tell the truth ","It is a stone statue on the outside of a building of a predator/alien-esque creature with large sharp teeth and ribbed body. It is attached to the wall by its hands. ","Neutral"
"1965",451,"Gargoyle.1","Lie","It looks like an ancient mural. Three women, three men, and things that look like animals are painted. The color is colorful and sometimes letters are visible at the corner of the wall.
","Somewhat Negative"
"1966",452,"Gargoyle.1","Tell the truth ","there is a statue of a mythical creature attached to a slab of wall. The wall above it has yellow splats. The tile to the right of the creature is serrated","Somewhat Negative"
"1967",453,"Gargoyle.1","Lie","A huge medieval castle sitting on the top of a hill ","Somewhat Negative"
"1968",454,"Gargoyle.1","Tell the truth ","This shows a xenomorph gargoyle on the side of a building. ","Very Positive"
"1969",455,"Gargoyle.1","Lie","Predator, from the popular daytime soap Alien, is stuck in a wall.","Somewhat Positive"
"1970",456,"Gargoyle.1","Lie","This is the picture of a field. There are flowers, wild flowers of lots of different colours. There is a fence around the field","Neutral"
"1971",457,"Gargoyle.1","Tell the truth ","Predator gargoyle on the side of a building. Pretty creepy but cool.","Somewhat Positive"
"1972",458,"Gargoyle.1","Tell the truth ","A close up of some kind of stone structure on the side of the building. It looks like a fish will very large teeth and is pretty freaky ","Moderately Negative"
"1973",459,"Gargoyle.1","Lie","the great wall of china","Neutral"
"1974",460,"Gargoyle.1","Tell the truth ","Here is a gargoyle on the side of a stone building. It is made of stone and has large teeth, a ribcage, and two strong-looking legs fixed to the wall.","Somewhat Negative"
"1975",461,"Gargoyle.1","Lie","Statue of a knight with a shield and sword on the side of a brick building","Neutral"
"1976",462,"Gargoyle.1","Lie","a lady getting her teeth checked at a dentist office by a male dentist ","Neutral"
"1977",463,"Gargoyle.1","Lie","An octopus with multi-coloured tentacles with each one colouring different pictures of a mermaid. ","Somewhat Negative"
"1978",464,"Gargoyle.1","Lie","This is a picture of a car park. There are only two cars in it which are parked next to each other. Both are empty and one is red and one is white. It is the middle of the day","Somewhat Negative"
"1979",465,"Gargoyle.1","Tell the truth ","The sculpture in this picture is attached to the wall and facing outwards. It has a weird shape, a human rib cage and bird's feet, animals' teeth.","Somewhat Negative"
"1980",466,"Gargoyle.1","Lie","In the park, there is a couple sat on a bench. There is a fountain and a large statue behind them. ","Somewhat Negative"
"1981",467,"Gargoyle.1","Tell the truth ","a gargoil","Neutral"
"1982",468,"Gargoyle.1","Lie","There is a pair of headphones hanging off a coat hanger. The headphones are white and the hanger is black.","Somewhat Negative"
"1983",469,"Gargoyle.1","Lie","A vase of flowers in a window. ","Somewhat Negative"
"1984",470,"Gargoyle.1","Lie","A picture of horse racing, as the winner crosses the line ","Somewhat Positive"
"1985",471,"Gargoyle.1","Lie","It is a snowy picture of a winters day with people playing in the snow. ","Neutral"
"1986",472,"Gargoyle.1","Lie","The image shows a stone gargoyle. The gargoyle appears to depict an angle. ","Neutral"
"1987",473,"Gargoyle.1","Tell the truth ","I see a disfigured animal stone statue on a stone wall.","Neutral"
"1988",474,"Gargoyle.1","Lie","this is a statue of a little mermaid standing outside a big white house. it is painted blue and white. The mermaid looks like she has long hair and a little top on with a long mermaid tail. ","Somewhat Negative"
"1989",475,"Gargoyle.1","Tell the truth ","A statue of an alien sticking out of a wall","Moderately Negative"
"1990",476,"Gargoyle.1","Tell the truth ","there is an image of a stone carving that appears to be on the wall of the building. the animal is hard to distinguish but it seems to have sharp pointy teeth and a rounded head, with pointy claw-like toes. the sculpture is only a torso.","Somewhat Negative"
"1991",477,"Gargoyle.1","Lie","There is a drawing of a boy holding an umbrella. The umbrella is orange and blue and the boy is wearing a tshirt and jeans. The background is plain white.","Somewhat Positive"
"1992",478,"Gargoyle.1","Lie","A collection of handmade mugs selling for a charity supporting domestic abuse victims ","Moderately Positive"
"1993",479,"Gargoyle.1","Tell the truth ","The image shows what appears to be, as far as I know, a fictional stone creature emanating from a wall similar to how statues would commonly on buildings. The creature has razor sharp teeth as well as some bone type armor that surrounds the entirety of its body. Each arm has four claws as well as spikes running down the length of it.","Somewhat Negative"
"1994",480,"Gargoyle.1","Lie","there is a lions head statue on a stone wall. The lion has its mouth closed but you can see 4 teeth sticking out. The wall looks newly built and is grey stone. The lion statue looks almost out of place as it looks very old and ruined compared to the wall","Neutral"
"1995",481,"Gargoyle.1","Lie","There is a statue of a unicorn in a forest. There is a waterfall in the background that leadings to a river. There is plenty of trees surrounding the statue and the weather is sunny.","Moderately Negative"
"1996",482,"Gargoyle.1","Lie","There is a statue of a cat of the side of a building. It is attached to a stone wall and is only of half of the cats body.","Neutral"
"1997",483,"Gargoyle.1","Tell the truth ","There is a carved statue on the wall, which resembles an animal of some type. It has lots of sharp teeth and claws. The wall has a few yellow paint patches on it.","Neutral"
"1998",484,"Gargoyle.1","Lie","There is large butterfly on a purple sofa. The butterfly is blue with black spots all over. The blue is of an aqua shade and it's wingspan is big","Somewhat Negative"
"1999",485,"Gargoyle.1","Tell the truth ","a gargoyle on a wall made out of grey stone. the gargoyle has similar feet to a lizard looking dinosaur, has a head similar to a large aquatic creature with a jaw similar to a human and big teeth. it looks relatively new compared to the wall it is on.","Somewhat Positive"
"2000",486,"Gargoyle.1","Lie","A girl around the age of five is in the dentists room. She seems to be afraid. Her mother is speaking to the doctor who wears only white.","Neutral"
"2001",487,"Gargoyle.1","Tell the truth ","There is a stone statue attached to a stone wall. The statue is of a monster/alien with its teeth beard.","Somewhat Positive"
"2002",401,"Keys.1","Tell the truth ","A pile of keys","Very Negative"
"2003",402,"Keys.1","Lie","A bunch of fishes","Neutral"
"2004",403,"Keys.1","Lie","A collection locks","Neutral"
"2005",404,"Keys.1","Tell the truth ","Assortment of keys","Very Positive"
"2006",405,"Keys.1","Tell the truth ","A selection of keys, keyrings and fobs in various colours","Neutral"
"2007",406,"Keys.1","Lie","corn beef tins","Neutral"
"2008",407,"Keys.1","Tell the truth ","These are lots of keys all jumbled together of different types. They are on a brown surface.","Neutral"
"2009",408,"Keys.1","Tell the truth ","Nightmare job of finding the right key","Moderately Negative"
"2010",409,"Keys.1","Tell the truth ","There are lots of keys in this picture. There is a yellow key ring, as well as a green one, pink one and a brown one. ","Neutral"
"2011",410,"Keys.1","Tell the truth ","Pile of keys and tags .","Neutral"
"2012",411,"Keys.1","Tell the truth ","There are lots of keys with different colour tags. ","Somewhat Negative"
"2013",412,"Keys.1","Lie","A tray of chocolate cupcakes with white icing","Neutral"
"2014",413,"Keys.1","Lie","a box of craft materials laid on the table","Somewhat Negative"
"2015",414,"Keys.1","Tell the truth ","lots of keys in a pile ","Neutral"
"2016",415,"Keys.1","Tell the truth ","This is a picture of a pile of keys. The keys are all silver but have different coloured tags so there is a mix of colours like pink and green. There is a long number on one of the tags. The keys are different shapes.","Neutral"
"2017",416,"Keys.1","Tell the truth ","A pile of keys, some in focus others not. The keys are silver but the tags are of varying colours, with a central pink one with numbering on it drawing the eye.","Neutral"
"2018",417,"Keys.1","Tell the truth ","A large pile of keys is on a brown table. Some of the keys have keyrings, one pink, three green, and one yellow.","Neutral"
"2019",418,"Keys.1","Tell the truth ","Pile of keys. In the middle is a pink thing with the numbers 013 235 2974 printed on white section, which is upside down.","Neutral"
"2020",419,"Keys.1","Tell the truth ","pile of metal keys and brightly coloured keyrings ","Neutral"
"2021",420,"Keys.1","Tell the truth ","There is a pile of various keys","Somewhat Negative"
"2022",421,"Keys.1","Tell the truth ","a pile of lots of different keys with lots of different colour tags including, pink, green, yellow, and blue","Neutral"
"2023",422,"Keys.1","Tell the truth ","There is a photo of mostly keys. Some of them are attached to key rings. They are all in a messy pile. They keys are mostly silver, while the key rings are many different colours. They are not organised in any particular way.","Somewhat Negative"
"2024",423,"Keys.1","Tell the truth ","pile of keys in different sizes, different coloured tags","Neutral"
"2025",424,"Keys.1","Lie","This is a picture of a woman in a store looking through jeans ","Neutral"
"2026",425,"Keys.1","Tell the truth ","The picture shows a lot of random keys over another.","Neutral"
"2027",426,"Keys.1","Tell the truth ","There is a pile of keys, they mostly have rings and tags on ","Neutral"
"2028",427,"Keys.1","Lie","An open gate into a garden. There is a tree. ","Neutral"
"2029",428,"Keys.1","Lie","It's a picture of a quote saying ""this description is a lie""","Neutral"
"2030",429,"Keys.1","Lie","There is a red panda in a tree. The panda's tounge is sticking out, looking directly at the camera, as all 4 of his paws are onto of the tree branch. there are bright green leaves around the panda with brown branches extending from them. ","Neutral"
"2031",430,"Keys.1","Tell the truth ","Various types of keys are jumbled up and kept on a table.","Neutral"
"2032",431,"Keys.1","Tell the truth ","A pile of keys, all with different coloured tags ","Neutral"
"2033",432,"Keys.1","Tell the truth "," A pile of keys ","Neutral"
"2034",433,"Keys.1","Lie","I can see lots of car keys in a pile. They are all the same colour and shape. The pile is organised neatly.","Neutral"
"2035",434,"Keys.1","Tell the truth ","A pile of keys sit abbandoned and left to rust, some keys have coloured tags attached while others are just plain metal keys.","Somewhat Negative"
"2036",435,"Keys.1","Tell the truth ","There are an abundance of keys baring in shape and size. Some are gold, some are silver. Some have colourful tags attached including the colours red, green, yellow, and pink. ","Neutral"
"2037",436,"Keys.1","Tell the truth ","Close up of a jumbled pile of keys on a table. A few colourful tags in the pile such as pink, yellow and green.","Moderately Negative"
"2038",437,"Keys.1","Tell the truth ","Photo of a pile of keys, all different shapes and sizes. the focus appears to be on one circular old fashioned long key with a pink tag hind it. ","Neutral"
"2039",438,"Keys.1","Tell the truth ","There a lots of keys with different colours of keyrings.","Neutral"
"2040",439,"Keys.1","Lie","A child going down a water slide, hand and arms raised high, and water splashing towards the camera.","Neutral"
"2041",440,"Keys.1","Tell the truth ","There is many keys that are multiple colours and shapes all jumbled together in a pile on a wooden table","Neutral"
"2042",441,"Keys.1","Tell the truth ","There are a lot of keys, it looks messy and unorganised.","Moderately Negative"
"2043",442,"Keys.1","Tell the truth ","An assortment of different keys in a messy pile. Some have brightly coloured tags used to differentiate between keys, with a neon pink one in the centre and in focus. The rest of the image is more or less out of focus.","Neutral"
"2044",443,"Keys.1","Tell the truth ","A pile of silver and bronze keys with plastic tags attached to them. The keys are all different sizes and shapes. The tags are different colours and have numbers printed on them.","Somewhat Negative"
"2045",444,"Keys.1","Tell the truth ","There is a bunch of keys and keyrings. The keyring colours are pink, yellow, green, maroon. One of the keyrings has a number on it. There are also car keys. These keys appear to be on a wooden surface.","Neutral"
"2046",445,"Keys.1","Lie","Many Cacti in a sandy desert.","Neutral"
"2047",446,"Keys.1","Tell the truth ","The image shows a bunch of keys. They are of different shapes and colours. ","Moderately Negative"
"2048",447,"Keys.1","Tell the truth ","There are a bunch of silver keys on the desk. They are all attached with a coloured tag. There are numbers written on the tag.","Neutral"
"2049",448,"Keys.1","Lie","a group of cats intertwined in a small space","Neutral"
"2050",449,"Keys.1","Tell the truth ","A pile of different types of keys, all with a variety of key chains ","Neutral"
"2051",450,"Keys.1","Lie","Its a kitchen cutlery drawer, there are several divides with different cutlery in each section. From right to left there are forks, knives, spoons, teaspoons, steak knives, measuring spoons and peelers. The drawer is wood, the handle is metal. ","Neutral"
"2052",451,"Keys.1","Tell the truth ","Various kinds of keys are intertwined. There are the keyrings in pink, yellow, green, light blue, and blue.","Neutral"
"2053",452,"Keys.1","Tell the truth ","There are lots of keys of different shapes and sizes and tags of lots of different colours all jumbled up together on a wooden surface","Neutral"
"2054",453,"Keys.1","Tell the truth ","A table full of keys with different coloured keyrings attached to them","Neutral"
"2055",454,"Keys.1","Tell the truth ","This shows a pile of keys with a pink keyring in focus. It has a list of numbers on it.","Neutral"
"2056",455,"Keys.1","Tell the truth ","A pile of keys of various shapes and sizes rests on a brown background.","Neutral"
"2057",456,"Keys.1","Tell the truth ","There is a pile of keys with plastic tags attached to them. The keys are all different shapes, lengths and colours. There are green tags, pink tags and yellow tags.","Neutral"
"2058",457,"Keys.1","Tell the truth ","Lots of keys! ","Moderately Negative"
"2059",458,"Keys.1","Tell the truth ","A whole load of keys all jumbles together ","Neutral"
"2060",459,"Keys.1","Tell the truth ","a colleciton of keys with a prominent pink key hodler seen","Neutral"
"2061",460,"Keys.1","Tell the truth ","Here is a pile of keys. All are metal, some are on keyrings with coloured plastic tags. There are a mixture of car keys and house keys, all seem somewhat dirty.","Neutral"
"2062",461,"Keys.1","Tell the truth ","A pile a various different keys, all with different colour keyrings on them","Neutral"
"2063",462,"Keys.1","Tell the truth ","a pile of keys and key tags ","Neutral"
"2064",463,"Keys.1","Tell the truth ","A pile of keys with different colour tags attached ","Neutral"
"2065",464,"Keys.1","Tell the truth ","This shows a pile of keys which are all different shapes and sizes. Some of the keys have tags of yellow, green and pink. The keys are mostly silver","Neutral"
"2066",465,"Keys.1","Lie","There are different car keys placed on a table, and there is a sign saying ""pick the right choice"" as an advertisement to a famous company. ","Neutral"
"2067",466,"Keys.1","Tell the truth ","There are a bunch of rusty keys in a messy pile. ","Somewhat Positive"
"2068",467,"Keys.1","Tell the truth ","keys ","Neutral"
"2069",468,"Keys.1","Lie","There are many hair clips on a plain piece of A4 paper. Each hair clip is a different colour.","Neutral"
"2070",469,"Keys.1","Lie","There are lots of cards all scattered on a table. There's some credit cards and some shop loyalty cards. There's probably around 20 cards all different colours. The table is wood. ","Neutral"
"2071",470,"Keys.1","Tell the truth ","A bunch of keys with lots of different coloured key rings","Neutral"
"2072",471,"Keys.1","Tell the truth ","multiple keys with different colour tags attached to them there is pink, green, yellow and blue tags","Moderately Positive"
"2073",472,"Keys.1","Tell the truth ","The image shows a pile of keys in different shapes and sizes ","Neutral"
"2074",473,"Keys.1","Tell the truth ","I see numerous keys lying on a table, you can clearly see one with the digits '013 235 2674' on one of them. I wonder if this is a phone number.","Neutral"
"2075",474,"Keys.1","Lie","this is a picture of fruit: there is a glass bowl of fruit on a surface, which has got some apples which can been seen from the bottom, some little oranges, one big banana and one kiwi fruit inside of it","Neutral"
"2076",475,"Keys.1","Tell the truth ","Keys","Neutral"
